Feature	Gain	Cover	Frequency	ranking
Visa_mpagosdolares	0.00196045620962017	0.00425470565005426	0.00355871886120996	74
ctarjeta_master	0.00173049053333898	0.000486256946599412	0.000936504963476306	75
ccaja_seguridad	0.00150612338747378	0.00589466312041955	0.00159205843790972	76
Visa_status	0.00132384848158745	0.00334680908898176	0.000749203970781045	77
cseguro_accidentes_personales	0.0012982562127844	0.00518653182513531	0.00215396141599551	78
mtarjeta_master_consumo	0.00123867900866971	0.00352661303769162	0.00196666042330024	79
Master_fultimo_cierre	0.00115477504174407	0.00234976641963627	0.00271586439408129	80
catm_trx	0.00108396419385362	0.00334254121098254	0.00271586439408129	81
Master_mconsumototal	0.00107345489644438	0.00292587925119537	0.00280951489042892	82
Visa_Finiciomora	0.00105914421531671	0.0047795855098647	0.00103015545982394	83
cinversion1	0.000855434121225021	0.00711148307096646	0.000936504963476306	84
active_quarter	0.000781700478840138	0.00024551359950337	0.000842854467128676	85
Master_cconsumos	0.000766524787879675	0.00224606528034651	0.00234126240869077	86
mttarjeta_master_debitos_automaticos	0.000746373401124596	0.00395040963586193	0.00140475744521446	87
Visa_msaldodolares	0.000716773042703028	0.00157675508267283	0.00159205843790972	88
ctarjeta_master_trx	0.000683602680265916	0.00168248876429266	0.00140475744521446	89
matm_other	0.000669486709603588	0.00228520439478423	0.00149840794156209	90
tpaquete9	0.000624765620300793	0.00360633847357758	0.000842854467128676	91
mtarjeta_visa_descuentos	0.000612656421652354	0.00700223276848982	0.00224761191234314	92
tpaquete7	0.000567419222101513	0.00229275844666405	0.000374601985390523	93
Master_mconsumosdolares	0.000564215727219948	0.000594368841013622	0.00131110694886683	94
tmobile_app	0.000560969065933496	0.00561157283697709	0.000842854467128676	95
ctarjeta_master_debitos_automaticos	0.00055920054998364	0.00339205965722828	0.00103015545982394	96
Master_mpagado	0.000529718706076325	0.00585074453569546	0.00112380595617157	97
Visa_delinquency	0.000509092448263696	0.000809776847546296	0.000561902978085784	98
cplazo_fijo	0.000404754780718355	0.00114507258897697	0.000655553474433414	99
ccajas_trx	0.00040272188165826	0.00202809931237803	0.000655553474433414	100
Master_mpagosdolares	0.000369663751172273	0.000408020198179698	0.00112380595617157	101
internet	0.000363057649130101	0.00247789954734268	0.000561902978085784	102
ccheques_emitidos	0.000304486869627023	0.0014005691514893	0.000187300992695261	103
ctarjeta_visa	0.000281905552661857	7,77E+09	9,37E+09	104
catm_trx_other	0.000230324158816679	0.000978141408357614	0.000561902978085784	105
mcheques_emitidos	0.000207018357523562	0.000728581159952182	9,37E+09	106
tpaquete1	0.000203143790103349	0.00417875032669892	0.000561902978085784	107
ccajas_extracciones	0.000186713743196835	0.00172441167820287	0.000374601985390523	108
minversion2	0.000184970995189869	0.00287134627874753	0.000374601985390523	109
mcheques_depositados	0.000169673355002732	0.00375216071117707	0.000561902978085784	110
Visa_madelantodolares	0.000141020050337026	0.000158754921903801	0.000187300992695261	111
cforex	0.000121263107425302	0.000495894239144073	0.000561902978085784	112
ccajeros_propios_descuentos	0.000117257591347089	0.00304186782325607	0.000468252481738153	113
ctarjeta_visa_descuentos	0.000111503699027087	0.000730042193781286	0.000468252481738153	114
mforex_sell	0.000109645940272056	0.000366599658677609	0.000187300992695261	115
