fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 133011	-0.855024498053385	1206	601	10	5	10690000	46
20220408 133115	-0.930245925042093	233	116	10	5	7917000	47
20220408 133219	-0.827770896528299	2403	1198	11	5	10324000	48
20220408 133307	-0.830870606501164	1397	692	7	5	10198000	49
20220408 133358	-0.856083693684783	6779	648	10	5	8202000	50
20220408 133503	-0.832305659260861	587	292	11	5	9487000	51
20220408 133556	-0.857262506222599	2341	1165	9	5	10251000	52
20220408 133643	-0.780717588038269	2872	1433	7	5	9636000	53
20220408 133734	-0.739296534506341	1835	916	8	5	9834000	54
20220408 133844	-0.390923761924663	7997	48	20	5	7445000	55
20220408 133937	-0.447103427802263	3153	1572	12	5	9646000	56
20220408 134034	-0.795699885239254	1647	820	10	5	10227000	57
20220408 134130	-0.860740656015387	2299	1146	13	5	10489000	58
20220408 134222	-0.848626772128623	3482	1738	20	5	9232000	59
20220408 134250	-0.435726058461836	1535	750	3	5	8201000	60
20220408 134340	-0.647871994775674	3856	1928	20	5	8899000	61
20220408 134432	-0.612448291197036	7992	623	20	5	7858000	62
20220408 134528	-0.855656686554743	1722	859	11	5	10060000	63
20220408 134627	-0.709937038985404	1176	525	10	5	11238000	64
20220408 134723	-0.459569575481883	2167	1082	20	5	10146000	65
20220408 134813	-0.854192386858154	3989	1989	13	5	8742000	66
20220408 134908	-0.715370625671306	2560	1280	16	5	10053000	67
20220408 135002	-0.212321398452817	3292	1362	18	5	9713000	68
20220408 135057	-0.709529192325517	1266	487	9	5	10620000	69
20220408 135145	-0.201971251776055	1611	802	7	5	10260000	70
20220408 135246	-0.999557994032514	1299	645	15	5	10825000	71
20220408 135341	-0.999548919378967	2249	1124	16	5	10534000	72
20220408 135434	-0.367189351022866	3296	1109	18	5	10330000	73
20220408 135528	-0.260545705177149	2384	1189	10	5	10196000	74
20220408 135622	-0.692575567317471	2518	1256	10	5	9948000	75
20220408 135716	-0.52054553095872	2358	1179	16	5	10254000	76
20220408 135815	-0.734216198523136	2436	550	14	5	10088000	77
20220408 135912	-0.50197724699641	3526	727	18	5	9528000	78
20220408 135947	-0.999748894146426	7999	1609	5	5	8099000	79
20220408 140040	-0.999838604651376	7997	583	15	5	7858000	80
20220408 140137	-0.238784897307591	2207	426	10	5	10185000	81
20220408 140214	-0.867226455113787	4341	521	5	5	9457000	82
20220408 140303	-0.215976823124109	3626	720	8	5	9333000	83
20220408 140401	-0.364916231318603	1550	775	11	5	10440000	84
20220408 140458	-0.319095421394779	2016	1006	15	5	10160000	85
20220408 140535	-0.167222936117929	8	1	5	5	8497000	86
20220408 140632	-0.731907203899884	1077	538	10	5	11102000	87
20220408 140716	-0.495165821366567	2518	1253	6	5	10002000	88
20220408 140755	-0.17682851723376	2183	1085	5	5	10291000	89
20220408 140851	-0.714919178141984	1888	485	10	5	10087000	90
20220408 140946	-0.802358294513904	2722	1360	15	5	9750000	91
20220408 141045	-0.706054213292256	1574	785	20	5	10047000	92
20220408 141112	-0.999816850297318	7998	4	3	5	7855000	93
20220408 141140	-0.840228946075506	3994	1992	3	5	7955000	94
20220408 141228	-0.0351240568289402	5966	1999	20	5	8656000	95
20220408 141307	0.00761347289207363	7998	640	20	5	0	96
20220408 141405	-0.153500811985116	6238	397	15	5	9141000	97
20220408 141454	-0.121650796294287	5201	1796	17	5	8689000	98
20220408 141601	-0.337756077971456	5631	16	13	5	7653000	99
20220408 141656	-0.0491677571495551	2918	1452	19	5	9707000	100
20220408 141724	-0.0815276672545045	2381	1189	3	5	7999000	101
20220408 141816	-0.547569481199559	4319	1169	10	5	9205000	102
20220408 141913	-0.401185979916241	6374	1303	20	5	8967000	103
20220408 142005	-0.359738873978123	3988	1989	7	5	8742000	104
20220408 142114	-0.707749018206013	1071	535	12	5	11119000	105
20220408 142146	-0.180004649926239	6952	1195	4	5	8258000	106
20220408 142317	-0.710221758098959	4715	1	20	5	8762000	107
20220408 142415	-0.33968850740637	2675	1333	20	5	9779000	108
20220408 142458	-0.301639254837616	2136	1065	6	5	10052000	109
20220408 142534	-0.517382174963727	7995	1072	5	5	7858000	110
20220408 142622	-0.999861892521991	7609	1799	20	5	8120000	111
20220408 142723	-0.470589869338734	1173	585	10	5	10779000	112
20220408 142820	-0.478412314295356	2114	1053	13	5	10085000	113
20220408 142919	-0.299799109463002	1061	527	10	5	11008000	114
20220408 143010	-0.114533245478137	5039	1404	20	5	8880000	115
20220408 143113	-0.707554091267097	1085	542	14	5	11064000	116
