fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220422 025432	0	0	0	1	auto	depthwise	256	0	1	0.0101717684776659	0.816009111189073	7	2	0.0223024963249967	2133	12617000	98
20220420 142642	0	0	0	1	auto	depthwise	256	0	1	0.158520893392257	0.391431552783052	10	2	0.0111536538476469	123	12616000	48
20220421 093558	0	0	0	1	auto	depthwise	256	0	1	0.0996087077993106	0.99997227889853	7	30	0.0129362117148256	16	12574000	72
20220425 015059	0	0	0	1	auto	depthwise	256	0	1	0.0131164983345836	0.582565183175104	10	23	0.0202969770695702	398	12556000	105
20220419 132522	0	0	0	1	auto	depthwise	256	0	1	0.108218143748934	0.495986862620339	10	18	0.0167043947886365	36	12533000	15
20220425 122237	0	0	0	1	auto	depthwise	256	0	1	0.0259837930329436	0.20020032295765	7	2	0.0260285541792825	362	12453000	120
20220420 030436	0	0	0	1	auto	depthwise	256	0	1	0.0104258571212749	0.237005313304932	10	21	0.00834000222122687	52	12288000	37
20220419 144454	0	0	0	1	auto	depthwise	256	0	1	0.135840597834778	0.769163010965358	10	11	0.0101828849672361	19	12199000	21
20220420 201422	0	0	0	1	auto	depthwise	256	0	1	0.0100084362112935	0.999462909963958	10	26	0.00862480067509833	94	12153000	54
20220421 114545	0	0	0	1	auto	depthwise	256	0	1	0.181533883793175	0.997886084567243	10	30	0.0137935751139259	9	12149000	79
20220421 213150	0	0	0	1	auto	depthwise	256	0	1	0.0502902676940443	0.991128485588604	10	2	0.0250323580895941	342	12143000	93
20220425 112142	0	0	0	1	auto	depthwise	256	0	1	0.0101060060705643	0.98615720719293	7	17	0.0200007132830857	431	12143000	114
20220420 002829	0	0	0	1	auto	depthwise	256	0	1	0.299810050868789	0.963992145664445	2	2	0.0135136769774666	160	12076000	34
20220421 014308	0	0	0	1	auto	depthwise	256	0	1	0.271224634297603	0.610650538256019	10	4	0.0156352741522938	19	12069000	62
20220419 152848	0	0	0	1	auto	depthwise	256	0	1	0.0811685540529802	0.920785244849672	4	8	0.00834318029047912	5	11844000	25
20220425 002536	0	0	0	1	auto	depthwise	256	0	1	0.0101166062246342	0.999215852916873	4	2	0.0273222542160062	1205	11831000	104
20220419 150353	0	0	0	1	auto	depthwise	256	0	1	0.143869444718299	0.999937268981584	8	14	0.0153576086886865	18	11824000	23
20220420 131245	0	0	0	1	auto	depthwise	256	0	1	0.298769715449455	0.473085997557631	10	30	0.0128001868840266	8	11776000	44
20220425 114447	0	0	0	1	auto	depthwise	256	0	1	0.0141366733622641	0.234155447188766	3	2	0.0323426017853393	630	11580000	117
20220425 112645	0	0	0	1	auto	depthwise	256	0	1	0.156390428396802	0.238458795643865	10	30	0.00833877269326885	19	11514000	115
20220421 202809	0	0	0	1	auto	depthwise	256	0	1	0.202238991188379	0.201614079358123	10	4	0.00833349665961801	29	11348000	89
20220419 102508	0	0	0	1	auto	depthwise	256	0	1	0.183121170684462	0.587885245708749	4	6	0.020434545011085	27	11347000	7
20220422 053835	0	0	0	1	auto	depthwise	256	0	1	0.0104639273076581	0.998081397013672	10	18	0.0263741350888837	314	11325000	100
