cp	min_split	minbucket	max_depth	ganancia_promedio
-1	300	500	2	7959333
-1	300	500	3	9010000
-1	300	500	4	9964667
-1	300	500	5	10599333
-1	300	500	6	10790000
-1	300	500	7	10376000
-1	300	500	8	10376000
-1	300	500	9	10376000
-1	300	500	10	10376000
-1	400	0	2	7959333
-1	400	0	3	8798667
-1	400	0	4	8458667
-1	400	0	5	8498667
-1	400	0	6	8927333
-1	400	0	7	8762000
-1	400	0	8	8802667
-1	400	0	9	9004667
-1	400	0	10	9862000
-1	400	50	2	7959333
-1	400	50	3	9152667
-1	400	50	4	9257333
-1	400	50	5	9502000
-1	400	50	6	9894667
-1	400	50	7	9497333
-1	400	50	8	8752000
-1	400	50	9	7658000
-1	400	50	10	7630000
-1	400	100	2	7959333
-1	400	100	3	9152667
-1	400	100	4	9304000
-1	400	100	5	9518000
-1	400	100	6	10247333
-1	400	100	7	9037333
-1	400	100	8	8703333
-1	400	100	9	8290000
-1	400	100	10	8218667
-1	400	150	2	7959333
-1	400	150	3	9122000
-1	400	150	4	9662000
-1	400	150	5	9490000
-1	400	150	6	10262667
-1	400	150	7	9507333
-1	400	150	8	9146000
-1	400	150	9	9051333
-1	400	150	10	8715333
-1	400	200	2	7959333
-1	400	200	3	9152000
-1	400	200	4	9733333
-1	400	200	5	9778000
-1	400	200	6	10423333
-1	400	200	7	10052000
-1	400	200	8	9668000
-1	400	200	9	9211333
-1	400	200	10	9087333
-1	400	250	2	7959333
-1	400	250	3	9152000
-1	400	250	4	9830000
-1	400	250	5	10016667
-1	400	250	6	10330667
-1	400	250	7	10105333
-1	400	250	8	9690000
-1	400	250	9	9652667
-1	400	250	10	9728000
-1	400	300	2	7959333
-1	400	300	3	9151333
-1	400	300	4	9786667
-1	400	300	5	10121333
-1	400	300	6	10174667
-1	400	300	7	10210000
-1	400	300	8	10034000
-1	400	300	9	9966667
-1	400	300	10	9966667
-1	400	350	2	7959333
-1	400	350	3	9151333
-1	400	350	4	9752000
-1	400	350	5	9643333
-1	400	350	6	9999333
-1	400	350	7	9796667
-1	400	350	8	9670667
-1	400	350	9	9654667
-1	400	350	10	9565333
-1	400	400	2	7959333
-1	400	400	3	9010000
-1	400	400	4	9862667
-1	400	400	5	10292667
-1	400	400	6	10456000
-1	400	400	7	10142667
-1	400	400	8	10012667
-1	400	400	9	10012667
-1	400	400	10	10012667
-1	400	450	2	7959333
-1	400	450	3	9010000
-1	400	450	4	9874667
-1	400	450	5	10456000
-1	400	450	6	10401333
-1	400	450	7	10102667
-1	400	450	8	10102667
-1	400	450	9	10102667
-1	400	450	10	10102667
-1	400	500	2	7959333
-1	400	500	3	9010000
-1	400	500	4	9964667
-1	400	500	5	10599333
-1	400	500	6	10790000
-1	400	500	7	10376000
-1	400	500	8	10376000
-1	400	500	9	10376000
-1	400	500	10	10376000
-1	500	0	2	7959333
-1	500	0	3	8798667
-1	500	0	4	8458667
-1	500	0	5	8498667
-1	500	0	6	8927333
-1	500	0	7	8762000
-1	500	0	8	8802667
-1	500	0	9	9011333
-1	500	0	10	9859333
-1	500	50	2	7959333
-1	500	50	3	9152667
-1	500	50	4	9257333
-1	500	50	5	9516000
-1	500	50	6	9908000
-1	500	50	7	9547333
-1	500	50	8	8860000
-1	500	50	9	7888667
-1	500	50	10	7831333
-1	500	100	2	7959333
-1	500	100	3	9152667
-1	500	100	4	9304000
-1	500	100	5	9519333
-1	500	100	6	10195333
-1	500	100	7	9143333
-1	500	100	8	8738667
-1	500	100	9	8624667
-1	500	100	10	8467333
-1	500	150	2	7959333
-1	500	150	3	9122000
-1	500	150	4	9662000
-1	500	150	5	9490000
-1	500	150	6	10130000
-1	500	150	7	9550667
-1	500	150	8	9148667
-1	500	150	9	9291333
-1	500	150	10	8925333
-1	500	200	2	7959333
-1	500	200	3	9152000
-1	500	200	4	9733333
-1	500	200	5	9778000
-1	500	200	6	10330667
-1	500	200	7	10070667
-1	500	200	8	9754667
-1	500	200	9	9438000
-1	500	200	10	9375333
-1	500	250	2	7959333
-1	500	250	3	9152000
-1	500	250	4	9830000
-1	500	250	5	10016667
-1	500	250	6	10330667
-1	500	250	7	10105333
-1	500	250	8	9690000
-1	500	250	9	9652667
-1	500	250	10	9728000
-1	500	300	2	7959333
-1	500	300	3	9151333
-1	500	300	4	9786667
-1	500	300	5	10121333
-1	500	300	6	10174667
-1	500	300	7	10210000
-1	500	300	8	10034000
-1	500	300	9	9966667
-1	500	300	10	9966667
-1	500	350	2	7959333
-1	500	350	3	9151333
-1	500	350	4	9752000
-1	500	350	5	9643333
-1	500	350	6	9999333
-1	500	350	7	9796667
-1	500	350	8	9670667
-1	500	350	9	9654667
-1	500	350	10	9565333
-1	500	400	2	7959333
-1	500	400	3	9010000
-1	500	400	4	9862667
-1	500	400	5	10292667
-1	500	400	6	10456000
-1	500	400	7	10142667
-1	500	400	8	10012667
-1	500	400	9	10012667
-1	500	400	10	10012667
-1	500	450	2	7959333
-1	500	450	3	9010000
-1	500	450	4	9874667
-1	500	450	5	10456000
-1	500	450	6	10401333
-1	500	450	7	10102667
